행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,위험도_점수,위험도,위험도7,예측_위험도
11110630,종로5·6가동,CS100008,분식전문점,0.04833405015833944,1,5단계,2
11110630,종로5·6가동,CS100009,호프-간이주점,0.16735725270236831,2,6단계,2
11110630,종로5·6가동,CS100010,커피-음료,0.41502842136878526,2,7단계,2
11110630,종로5·6가동,CS200006,일반의원,-0.21181983385132883,1,3단계,1
11110630,종로5·6가동,CS200007,치과의원,-0.14007955954740597,1,4단계,1
11110630,종로5·6가동,CS200008,한의원,-0.3317593261035362,0,2단계,0
11110630,종로5·6가동,CS200016,당구장,0.8889990995846184,2,7단계,2
11110630,종로5·6가동,CS200028,미용실,-0.40442323749842884,0,1단계,0
11110630,종로5·6가동,CS200030,피부관리실,-0.18763082525768834,1,4단계,1
11110630,종로5·6가동,CS200034,여관,-0.3220217971164422,0,2단계,0
11110630,종로5·6가동,CS200037,노래방,0.0983298319076077,2,5단계,2
11110630,종로5·6가동,CS300001,슈퍼마켓,0.27475383003852977,2,6단계,2
11110630,종로5·6가동,CS300002,편의점,0.6446483605049558,2,7단계,2
11110630,종로5·6가동,CS300003,컴퓨터및주변장치판매,-0.22803384864411014,1,3단계,1
11110630,종로5·6가동,CS300004,핸드폰,-0.2846970552479022,0,2단계,0
11110630,종로5·6가동,CS300007,육류판매,0.2325393433300893,2,6단계,2
11110630,종로5·6가동,CS300009,청과상,-0.4932916020363086,0,1단계,0
11110630,종로5·6가동,CS300011,일반의류,-0.1173356641054222,1,4단계,1
11110630,종로5·6가동,CS300014,신발,-0.3221666254598693,0,2단계,0
11110630,종로5·6가동,CS300015,가방,0.13245475469974216,2,5단계,2
11110630,종로5·6가동,CS300016,안경,-0.39076020982533255,0,1단계,0
11110630,종로5·6가동,CS300017,시계및귀금속,-0.4216151180538905,0,1단계,0
11110630,종로5·6가동,CS300018,의약품,0.030175084545671978,1,5단계,1
11110630,종로5·6가동,CS300019,의료기기,-0.1140884574918041,1,4단계,1
11110630,종로5·6가동,CS300020,서적,-0.177905223743283,1,4단계,1
11110630,종로5·6가동,CS300021,문구,0.6490605029193892,2,7단계,2
11110630,종로5·6가동,CS300022,화장품,-0.5200426870688046,0,1단계,0
11110630,종로5·6가동,CS300024,운동/경기용품,-0.10644603163829211,1,4단계,1
11110630,종로5·6가동,CS300027,섬유제품,0.22026529031706302,2,6단계,2
11110630,종로5·6가동,CS300028,화초,-0.23114357584908057,1,3단계,1
11110630,종로5·6가동,CS300029,애완동물,-0.6268193420584782,0,1단계,0
11110630,종로5·6가동,CS300033,철물점,-0.2764301571345243,0,2단계,0
11110630,종로5·6가동,CS300035,인테리어,-0.20921027873138467,1,3단계,1
11110630,종로5·6가동,CS300043,전자상거래업,-0.19544730539377658,1,3단계,2
11110640,이화동,CS100001,한식음식점,-0.05726672308331246,1,5단계,1
11110640,이화동,CS100002,중식음식점,0.150118947619621,2,6단계,2
11110640,이화동,CS100003,일식음식점,-0.3589306169179392,0,2단계,0
11110640,이화동,CS100004,양식음식점,-0.1726375692969882,1,4단계,1
11110640,이화동,CS100005,제과점,0.18043937340134186,2,6단계,2
11110640,이화동,CS100006,패스트푸드점,0.2236786472956418,2,6단계,2
11110640,이화동,CS100007,치킨전문점,-0.026789812462713405,1,5단계,1
11110640,이화동,CS100008,분식전문점,-0.05240246631981757,1,5단계,1
11110640,이화동,CS100009,호프-간이주점,-0.3688010590848991,0,2단계,0
11110640,이화동,CS100010,커피-음료,0.011221134747933362,1,5단계,2
11110640,이화동,CS200001,일반교습학원,-0.035199055319843436,1,5단계,1
11110640,이화동,CS200003,예술학원,-0.2965842871842906,0,2단계,0
11110640,이화동,CS200005,스포츠 강습,0.03483900853675398,1,5단계,1
11110640,이화동,CS200006,일반의원,-0.10618871898468642,1,4단계,1
11110640,이화동,CS200007,치과의원,-0.1461097645731778,1,4단계,1
11110640,이화동,CS200016,당구장,-0.18980698385648256,1,4단계,1
11110640,이화동,CS200024,스포츠클럽,-0.02633987077439162,1,5단계,1
11110640,이화동,CS200028,미용실,-0.3145624812612915,0,2단계,0
11110640,이화동,CS300001,슈퍼마켓,-0.14394961941660936,1,4단계,1
11110640,이화동,CS300002,편의점,0.6009931056261021,2,7단계,2
11110640,이화동,CS300011,일반의류,0.03133837093816583,1,5단계,2
