행정동_코드,행정동_코드_명,변수명,이유
11590620,사당1동,직장_인구_수,컬럼 없음
11590630,사당2동,직장_인구_수,컬럼 없음
11590640,사당3동,직장_인구_수,컬럼 없음
11590650,사당4동,직장_인구_수,컬럼 없음
11590651,사당5동,직장_인구_수,컬럼 없음
11590660,대방동,직장_인구_수,컬럼 없음
11590670,신대방1동,직장_인구_수,컬럼 없음
11590680,신대방2동,직장_인구_수,컬럼 없음
11620525,보라매동,직장_인구_수,컬럼 없음
11620545,청림동,직장_인구_수,컬럼 없음
11620565,성현동,직장_인구_수,컬럼 없음
11620575,행운동,직장_인구_수,컬럼 없음
11620585,낙성대동,직장_인구_수,컬럼 없음
11620595,청룡동,직장_인구_수,컬럼 없음
11620605,은천동,직장_인구_수,컬럼 없음
11620615,중앙동,직장_인구_수,컬럼 없음
11620625,인헌동,직장_인구_수,컬럼 없음
11620630,남현동,직장_인구_수,컬럼 없음
11620645,서원동,직장_인구_수,컬럼 없음
11620655,신원동,직장_인구_수,컬럼 없음
11620665,서림동,직장_인구_수,컬럼 없음
11620685,신사동,직장_인구_수,컬럼 없음
11620695,신림동,직장_인구_수,컬럼 없음
11620715,난향동,직장_인구_수,컬럼 없음
11620725,조원동,직장_인구_수,컬럼 없음
11620735,대학동,직장_인구_수,컬럼 없음
11620745,삼성동,직장_인구_수,컬럼 없음
11620765,미성동,직장_인구_수,컬럼 없음
11620775,난곡동,직장_인구_수,컬럼 없음
11650510,서초1동,직장_인구_수,컬럼 없음
11650520,서초2동,직장_인구_수,컬럼 없음
11650530,서초3동,직장_인구_수,컬럼 없음
11650531,서초4동,직장_인구_수,컬럼 없음
11650540,잠원동,직장_인구_수,컬럼 없음
11650550,반포본동,직장_인구_수,컬럼 없음
11650560,반포1동,직장_인구_수,컬럼 없음
11650570,반포2동,직장_인구_수,컬럼 없음
11650580,반포3동,직장_인구_수,컬럼 없음
11650581,반포4동,직장_인구_수,컬럼 없음
11650590,방배본동,직장_인구_수,컬럼 없음
11650600,방배1동,직장_인구_수,컬럼 없음
11650610,방배2동,직장_인구_수,컬럼 없음
11650620,방배3동,직장_인구_수,컬럼 없음
11650621,방배4동,직장_인구_수,컬럼 없음
11650651,양재1동,직장_인구_수,컬럼 없음
11650652,양재2동,직장_인구_수,컬럼 없음
11650660,내곡동,직장_인구_수,컬럼 없음
11680510,신사동,직장_인구_수,컬럼 없음
11680521,논현1동,직장_인구_수,컬럼 없음
11680531,논현2동,직장_인구_수,컬럼 없음
11680545,압구정동,직장_인구_수,컬럼 없음
11680565,청담동,직장_인구_수,컬럼 없음
11680580,삼성1동,직장_인구_수,컬럼 없음
11680590,삼성2동,직장_인구_수,컬럼 없음
11680600,대치1동,직장_인구_수,컬럼 없음
11680610,대치2동,직장_인구_수,컬럼 없음
11680630,대치4동,직장_인구_수,컬럼 없음
11680640,역삼1동,직장_인구_수,컬럼 없음
11680650,역삼2동,직장_인구_수,컬럼 없음
11680655,도곡1동,직장_인구_수,컬럼 없음
11680656,도곡2동,직장_인구_수,컬럼 없음
11680660,개포1동,직장_인구_수,컬럼 없음
11680670,개포2동,직장_인구_수,컬럼 없음
11680690,개포4동,직장_인구_수,컬럼 없음
11680700,세곡동,직장_인구_수,컬럼 없음
11680720,일원본동,직장_인구_수,컬럼 없음
11680730,일원1동,직장_인구_수,컬럼 없음
11680740,일원2동,직장_인구_수,컬럼 없음
11680750,수서동,직장_인구_수,컬럼 없음
11710510,풍납1동,직장_인구_수,컬럼 없음
11710520,풍납2동,직장_인구_수,컬럼 없음
11710531,거여1동,직장_인구_수,컬럼 없음
11710532,거여2동,직장_인구_수,컬럼 없음
11710540,마천1동,직장_인구_수,컬럼 없음
11710550,마천2동,직장_인구_수,컬럼 없음
11710561,방이1동,직장_인구_수,컬럼 없음
11710562,방이2동,직장_인구_수,컬럼 없음
11710566,오륜동,직장_인구_수,컬럼 없음
11710570,오금동,직장_인구_수,컬럼 없음
11710580,송파1동,직장_인구_수,컬럼 없음
11710590,송파2동,직장_인구_수,컬럼 없음
11710600,석촌동,직장_인구_수,컬럼 없음
11710610,삼전동,직장_인구_수,컬럼 없음
11710620,가락본동,직장_인구_수,컬럼 없음
11710631,가락1동,직장_인구_수,컬럼 없음
11710632,가락2동,직장_인구_수,컬럼 없음
11710641,문정1동,직장_인구_수,컬럼 없음
11710642,문정2동,직장_인구_수,컬럼 없음
11710646,장지동,직장_인구_수,컬럼 없음
11710647,위례동,직장_인구_수,컬럼 없음
11710650,잠실본동,직장_인구_수,컬럼 없음
11710670,잠실2동,직장_인구_수,컬럼 없음
11710680,잠실3동,직장_인구_수,컬럼 없음
11710690,잠실4동,직장_인구_수,컬럼 없음
11710710,잠실6동,직장_인구_수,컬럼 없음
11710720,잠실7동,직장_인구_수,컬럼 없음
11740515,강일동,직장_인구_수,컬럼 없음
11740520,상일동,직장_인구_수,컬럼 없음
11740530,명일1동,직장_인구_수,컬럼 없음
11740540,명일2동,직장_인구_수,컬럼 없음
11740550,고덕1동,직장_인구_수,컬럼 없음
11740560,고덕2동,직장_인구_수,컬럼 없음
11740570,암사1동,직장_인구_수,컬럼 없음
11740580,암사2동,직장_인구_수,컬럼 없음
11740590,암사3동,직장_인구_수,컬럼 없음
11740600,천호1동,직장_인구_수,컬럼 없음
11740610,천호2동,직장_인구_수,컬럼 없음
11740620,천호3동,직장_인구_수,컬럼 없음
11740640,성내1동,직장_인구_수,컬럼 없음
11740650,성내2동,직장_인구_수,컬럼 없음
11740660,성내3동,직장_인구_수,컬럼 없음
11740685,길동,직장_인구_수,컬럼 없음
11740700,둔촌2동,직장_인구_수,컬럼 없음
